Страна ,Название сервиса,|,Тип сервиса (услуги),|,Регистрационный номер,|,Область применения,|,Тип технологии,|,Ключев. характеристики,|,Статус использования,|,Доступность,|,Научная база,|,,|,ПРИМЕЧАНИЕ ,Страна Разработчика
China,uAI-XRImaging,|,"Программное обеспечение для просмотра, обработки и вычисления длины, прямоугольной площади и кардиоторакального соотношения медицинских изображений",|,NMPA 20202210126,|,Рентген,|,Компьютерное зрение,|,"1. Выполняет базовые операции с изображениями: панорамирование, масштабирование, настройка окон (ширина/уровень), переворот. Проводит измерения: длина, площадь прямоугольника, кардиоторакальное соотношение. 2. Автономное (standalone) программное обеспечение. Поставляется в виде загрузки через FTP.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://m.qxw18.com/cp/nlYhdkUSBN.html,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-Aortic Dissection,|,"Программное обеспечение для отображения, обработки и анализа изображений компьютерной томографии аорты у взрослых и может подсказать для сортировки предполагаемых случаев острого расслоения аорты.",|,NMPA 20243212363,|,КТ аорты,|,ИИ,|,"1. Используется для отображения, обработки и анализа изображений компьютерной томографии аорты. 2. Использует алгоритмы глубокого обучения (серверная часть) для анализа. 3. редназначен для помощи в оценке взрослых пациентов с подозрением на острое расслоение аорты.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.nmpa.gov.cn/datasearch/search-info.html?nmpa=aWQ9ZGU4MTkwZDdhYTg5NmQ0YWRjZjg4YmUyYmU3MTNhYmMmaXRlbUlkPWZmODA4MDgxODNjYWQ3NTAwMTgzY2I2NmZlNjkwMjg1,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-CoronaryCTA,|,"Программное обеспечение  для анализа изображений КТ-ангиографии аорты у взрослых, а также может быть использован для сортировки пациентов с подозрением на острое расслоение аорты.",|,NMPA 20233211066,|,КТ-ангиография,|,Компьютерное зрение,|,"1. Оценка нагрузки и характеристик бляшек (кальцинированные/некальцинированные). 2. Выявление признаков высокого риска (низкоаттенюационная бляшка, положительное ремоделирование и др.). 3. Оценка стенок сосудов (утолщение, аневризмы). 4. Измерение индекса аттенюации периваскулярной жировой ткани (FAI) для оценки воспаления.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Zhang, T, Du, J, Zhang, H. et al. Coronary Artery Vasculitis: A Nightmare Complicating Percutaneous Coronary Intervention. J Am Coll Cardiol Case Rep. 2025 Sep, 30 (29) . https://doi.org/10.1016/j.jaccas.2025.105062",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-ProstateMR,|,Сервис для автоматического очерчивания раковых очагов у взрослых пациентов с диагностированным раком предстательной железы,|,NMPA 20253211569,|,МРТ,|,Компьютерное зрение,|,"1. Повышение чувствительности: Помощь ИИ повысила чувствительность на уровне очагов с 67.3% до 85.5%.
2. Высокая точность AI standalone: AFROC-AUC = 83.1%, чувствительность на уровне очагов = 88.4%.
3. Особенная польза для мелких очагов: Наибольшее улучшение чувствительности (на 36.1%) было для очагов размером ≤1 см.
4. Интеграция в рабочий процесс: Предоставляет автоматические контуры предполагаемых очагов, которые рентгенолог может просматривать и редактировать.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Enhanced Detection of Prostate Cancer Lesions on Biparametric MRI Using Artificial Intelligence: A Multicenter, Fully-crossed, Multi-reader Multi-case Trial / Z. Xing, J. Chen, L. Pan [et al.] // Acad. Radiol. – 2025. – Vol. 32, № 10. – P. 5954–5963.",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-JointImaging-МРТ,|,"Программное обеспечение для отображения, просмотра и обработки данных МРТ костей и суставов, а также для оценки объема костей и суставов.",|,NMPA 20202210141,|,МРТ костей,|,Компьютерное зрение,|,"1. Выполняет базовые операции с изображениями: регулировка окна (ширина/уровень), настройка прозрачности, работа с кистью и ластиком. Проводит измерения: оценка объема костей и суставов. 2. Автономное (standalone) программное обеспечение. Поставляется в виде загрузки через FTP.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.nmpa.gov.cn/datasearch/search-info.html?nmpa=aWQ9YzliOGY1NThjMmYyNWQ2OGRhYjcxYWY4NWY5YjMxOGEmaXRlbUlkPWZmODA4MDgxODNjYWQ3NTAwMTgzY2I2NmZlNjkwMjg1,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-CMR,|,"Программное обеспечение для обработку и отображение данных МР-изображений сердца в соответствии со стандартами DICOM 3.0 (расчет параметров функции сердца, разделение левого и правого желудочков желудочков, сегментация эпикардиомембран).",|,NMPA 20242210018,|,МРТ сердца,|,Компьютерное зрение,|,1. Выполняет расчет параметров сердечной деятельности. Проводит сегментацию внутренней и наружной мембран левого и правого желудочков. 2. Имеет клиент-серверную архитектуру (браузерная и серверная части). 3. Поставляется через U-диск (USB-носитель).,|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.nmpa.gov.cn/datasearch/search-info.html?nmpa=aWQ9Yzg0YjZhMDkxNDkyNmM2NGI4YzI2NmE4ZGEyOTUwNTEmaXRlbUlkPWZmODA4MDgxODNjYWQ3NTAwMTgzY2I2NmZlNjkwMjg1,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-MI,|,"Программное обеспечение для импорта, отображения, MIP-реконструкции ПЭТ-последовательностей и ПЭТ-КТ-фьюжн-МПР реконструкции ПЭТ-последовательностей для медицинских учреждений для выполнения данных ПЭТ-КТ-изображений в соответствии с DICOM3.0.",|,NMPA 20232210065,|,"ПЭТ, ПЭТ-КТ",|,ИИ,|,"1. Выполняет MIP-реконструкцию ПЭТ-последовательностей. Выполняет MPR-реконструкцию и слияние (фьюжн) ПЭТ-КТ изображений. 2. Использует архитектуру ""браузер-сервер"" (B/S). Поставляется на USB-флеш-накопителе с физическим ключом защиты.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) https://healthairegister.com/radiology/products/uai-mi-oncology-petct-computer-aided-diagnostic-software
2) https://www.linkedin.com/posts/uii-america-inc_cecertification-cancercare-unitedimagingintelligence-activity-7217528192914313217-90cV/",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-BoneCare,|,Программное обеспечение для автоматического обнаружения и классификации переломов ребер на КТ-изображениях грудной клетки.,|,NMPA 20203210862,|,КТ костей,|,Компьютерное зрение,|,"Высокая точность (Accuracy: 98.9%), чувствительность (Sensitivity: 95.7%), специфичность (Specificity: 99.7%). Низкая частота пропущенных диагнозов (Missed diagnosis rate: 0.3%) и ложных срабатываний (Misdiagnosis rate: 4.2%). Автоматическая сегментация и нумерация ребер, обнаружение и разметка мест переломов, классификация типа перелома (свежий, со смещением, заживающий, старый). Значительно повышает эффективность диагностики рентгенологов, особенно в области 1-9 ребер.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) 王雄慧. Research on the Application of Artificial Intelligence Software in Rib Fracture Diagnosis / 王雄慧 // Adv. Clin. Med. – 2022. – Т. 12, № 01. – С. 404–411.
2) AI-assisted radiologists vs. standard double reading for rib fracture detection on CT images: A real-world clinical study / L. Sun, Y. Fan, S. Shi [et al.] // PLOS ONE. – 2025. – Vol. 20, № 1. – P. e0316732.",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-MammoCare,|,"Программное обеспечение для отображения, обработки, измерения и анализа рентгеновских изображений молочной железы у взрослых женщин, которые могут помочь в обнаружении некоторых поражений молочной железы (подозрительная кальцинация, уплотнения, структурные искажения)        ",|,NMPA 20243212113,|,Маммография,|,Компьютерное зрение,|,"1. Автоматически идентифицирует и локализует подозрительные образования: кальцинаты, бугорки (уплотнения) и структурные искажения. 2. Использует алгоритмы, основанные на глубоком обучении (серверная часть). ",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://m.qxw18.com/cp/wCePxvXBZg.html,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-PulmonaryEmbolism,|,"Программное решение для отображения, обработки, измерения и анализа изображений КТ-ангиографии легочной артерии, которые могут сортировать взрослые случаи с подозрением на острую тромбоэмболию легочной артерии",|,NMPA 20243211866,|,КТ грудной клетки ,|,Компьютерное зрение,|,"1. Используется для отображения, обработки, измерения и анализа изображений КТ легочной артерии. 2. Использует алгоритмы глубокого обучения как в браузерной, так и в серверной части. 3.  Предназначен для помощи в оценке взрослых пациентов с подозрением на острую ТЭЛА.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.nmpa.gov.cn/datasearch/search-info.html?nmpa=aWQ9OTY3YjU2ZjIwNDkzZDEyYzUxMTE0NjE2MjIxNmFiNTcmaXRlbUlkPWZmODA4MDgxODNjYWQ3NTAwMTgzY2I2NmZlNjkwMjg1,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-Discover-NCP,|,"Программное обеспечение, предназначенное для идентификации поражений пневмонией на изображениях КТ лёгких, а также может использоваться для помощи в сортировке взрослых пациентов с подозрением на пневмонию нового коронавируса и оценке состояния пациентов с подтвержденным диагнозом.",|,NMPA 20213210607,|,КТ грудной клетки ,|,Компьютерное зрение,|,"Автоматическое определение и разметка поражений. Расчёт общего объёма поражений, объёма GGO (матового стекла) и зон консолидации. 3D-реконструкция. Поддержка пакетной обработки. Интеграция с PACS.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) The communication of artificial intelligence and deep learning in computer tomography image recognition of epidemic pulmonary infectious diseases / W. Wang, X. Zhao, Y. Jia, J. Xu // PLOS ONE. – 2024. – Vol. 19, № 2. – P. e0297578.",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-LungImaging,|,"Программное обеспечение для анализа КТ грудной клетки, совместимым с DICOM.",|,NMPA 20192210281,|,КТ грудной клетки ,|,Компьютерное зрение,|,"1. Программное обеспечение для просмотра, отображения, обработки изображений и составления отчетов для КТ грудной клетки. 2. Поставляется путем загрузки через FTP.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://m.qxw18.com/cp/IldEMMVQJU.html,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-AbdomenImaging-MRI,|,"Программное обеспечение для отображения, просмотра и обработки данных МРТ изображений брюшной полости в соответствии со стандартами DICOM3.0, а также для оценки объема простаты и почек.",|,NMPA 20202210140,|,МРТ брюшной полости и таза,|,Компьютерное зрение,|,"1. Выполняет базовые операции с изображениями: регулировка окна (ширина/уровень), коррекция направления, настройка прозрачности, работа с кистью и ластиком. Проводит измерения: оценка объема простаты и почек. 2.  Автономное (standalone) программное обеспечение. Поставляется в виде загрузки через FTP.",|,Используется,|,"Частные клиники, государственные больницы",|,1) http://www.jumuyl.com/goods/info/id/125544.html,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-IschemicStroke,|,"Программное обеспечение для отображения, обработки, измерения и анализа простых КТ-изображений головы. Ранняя оценка КТ (ASPECTS) Программы лечения инсульта Альберты проводится вспомогательными врачами взрослым пациентам с подозрением на острый ишемический инсульт, которые развиваются в течение 6 часов",|,NMPA 20253211716,|,КТ головы,|,Компьютерное зрение,|,"1. Автоматизирует анализ аспектов (ASPECTS) для ранней КТ-диагностики. 2. Использует алгоритмы глубокого обучения для обработки изображений и анализа ASPECTS. 3. Предназначен для помощи врачам в оценке взрослых пациентов с подозрением на острый ишемический инстр, у которых симптомы проявились в течение последних 6 часов. 4. Не может использоваться в качестве единственного основания для постановки диагноза или принятия решений о лечении. Не предназначен для использования в экстренных ситуациях.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.nmpa.gov.cn/datasearch/search-info.html?nmpa=aWQ9Njk2ZWM1NTA1N2M2OGFkY2UzYzMzZTU0MTVkZDkwMTQmaXRlbUlkPWZmODA4MDgxODNjYWQ3NTAwMTgzY2I2NmZlNjkwMjg1,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-FFRCT,|,Программное обеспечение для визуализации сосудов коронарных артерий для получения показателей резерва кровотока КТ и помогает обученным квалифицированным медицинским техникам оценить функциональные симптомы ишемии миокарда у пациентов со стабильной ишемической болезнью сердца (SCAD) перед коронарографией. ,|,NMPA 20243210771,|,КТ-ангиография,|,ИИ,|,"1. Использует алгоритмы глубокого обучения для расчета FFRCT. 2. Предназначен для пациентов со стабильной ишемической болезнью сердца (SCAD). 3. Используется перед проведением инвазивной коронарной ангиографии. 4. Не подходит для пациентов с острой болью в груди, такой как острый коронарный синдром (ОКС). Не является самостоятельным диагностическим инструментом; клиницисты должны проводить комплексное обследование пациента.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://mm.sciconf.cn/cn/minisite/abstract-assembly-content/23597?abstract_id=3342102&class_id=66238,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI–PulmonaryArteryImaging,|,"Программное обеспечение для импорта, обработки (включая сегментацию легочной артерии, 3D-реконструкцию изображения, трансляцию, масштабирование, измерение, регулировку ширины/положения окна) и отображения данных КТ легочной артерии в соответствии со стандартом DICOM3.0.",|,NMPA 20232210075,|,КТ грудной клетки ,|,Компьютерное зрение,|,"1. Автоматическая сортировка и подсказки для случаев с подозрением на тромбоэмболию легочной артерии (ТЭЛА). 2. Используется для отображения, обработки, измерения и анализа изображений КТ-ангиографии легочной артерии. 3. Включает алгоритмы глубокого обучения (браузерная и серверная части).",|,Используется,|,"Частные клиники, государственные больницы",|,1) http://www.jumuyl.com/goods/info/id/125854.html,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,InferVisual Surgery Planning,|,Система помощи в планировании операций,|,NMPA 20233212016,|,КТ грудной клетки ,|,ИИ,|,Автоматическая 3D-реконструкция легочных сосудов и бронхов по данным бесконтрастной КТ. Среднее время реконструкции: 280 секунд. Точность обнаружения сосудов и бронхов: 85%. Точность классификации сосудов (артерии/вены): 80%.,|,Используется,|,"Частные клиники, государственные больницы",|,"1) A fully automated noncontrast CT 3‐D reconstruction algorithm enabled accurate anatomical demonstration for lung segmentectomy / X. Chen, Z. Wang, Q. Qi [et al.] // Thorac. Cancer. – 2022. – Vol. 13, № 6. – P. 795–803. DOI: 10.1111/1759-7714.14322.",|,,|,https://global.infervision.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,InferRead ,|,Система автоматическое измерение трехмерного объема матовых стекловидных узелков в легких на основе изображений КТ,|,NMPA 20233211114,|,КТ грудной клетки ,|,ИИ,|,"Высокая точность: Продемонстрирована высокая корреляция (r=0.981) и согласованность (ICC=0.987) результатов автоматических измерений с ""золотым стандартом"" (ручные измерения, выполненные опытными рентгенологами). Автоматизация: Система автоматически идентифицирует узелки на КТ-снимках, очерчивает их контуры и рассчитывает трехмерный объем. Воспроизводимость: Исключает субъективные ошибки и вариативность, присущие ручным измерениям разными специалистами или в разное время.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) LIANG Y, ZHANG H H, WU J L. Evaluation of the accuracy of inferread software  for measuring the volume of pure ground  glass nodules in the lung[J]. CT Theory and Applications, 2022, 31(5): 669-678. DOI: 10.15953/j.ctta.2021.009. (in Chinese).",|,,|,https://global.infervision.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,AccuContour ,|,Программное обеспечение для автоматического контурирования,|, NMPA 20223211031,|,"КТ головы, рака груди, таза",|,ИИ,|,"Основано на U-Net; позволяет создавать пользовательские модели на основе локальных данных; оценка по метрикам DSC, HD, RVD",|,Используется,|,"Частные клиники, государственные больницы",|,"1) GONG Xiaoqin, CHEN Fei, HU Jing, et al. Study on Automatic Segmentation of CTV and OARs by AccuContour Software in Breast Cancer[J]. China Medical Devices, 2022, 37(7): 76-79 https://doi.org/10.3969/j.issn.1674-1633.2022.07.016 ",|,,|,https://www.manteiamedical.com/accucontour,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,AccuFFRct,|,Диагностический инструмент для оценки гемодинамической значимости коронарных бляшек на основе КТ-ангиографии,|, NMPA 20233210644,|,КТ-ангиография,|,Компьютерное зрение,|,"1. Высокая диагностическая точность (AUC 0.93) по сравнению с изолированной КТ-ангиографией (AUC 0.77).
2. Устойчивая работа в ""серой зоне"" (значения CT-FFR 0.7-0.8).
3. Проспективное, многоцентровое исследование с анализом в независимой лаборатории.
4. Проведение чувствительного анализа в различных клинических подгруппах.",|,Используется,|,"Частные клиники, государственные больницы",|,1) Karády J. AccuFFRct: Another Important Addition to the Arsenal of CT-FFR Solutions. JACC Cardiovasc Interv. 2024 Sep 9;17(17):1993-1995. doi: 10.1016/j.jcin.2024.07.023. Epub 2024 Aug 21. PMID: 39177556.,|,,|,https://www.arteryflow.com/about,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,NeuBrainCARE,|,Программное обеспечение для автоматизированного анализа данных компьютерно-томографической перфузии (КТП) головного мозга.,|,NMPA 20223211038,|,"КТ, МРТ головного мозга",|,ИИ,|,"Автоматизированный анализ: Выполняет полный конвейер обработки: контроль качества изображения, коррекция движения, выбор артериальной функции ввода, сегментация ткани мозга. Генерирует карты перфузии: Церебральный кровоток (CBF), объем церебральной крови (CBV), время до пика (TTP), среднее время транзита (MTT), Tmax. Автоматический расчет ключевых показателей: Объем ядра инфаркта (CBF <30%), объем гипоперфузии (Tmax >6 мл), объем ""мисматча"", соотношение ""мисматча"". Интеграция с оборудованием: Может напрямую подключаться к устройствам визуализации для приема данных в формате DICOM. Высокая согласованность: Продемонстрировала отличную согласованность с коммерческим ПО RAPID (ICC >0.95, Kappa = 0.92).",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Agreement assessment of two automated platforms in computed tomography perfusion imaging for acute ischemic stroke / X. Chu, Y. Shen, W. Zhang [et al.] // Brain Circ. – 2025. – Art. № https://journals.lww.com/10.4103/bc.bc_47_25.",|,,|,https://www.neusoftmedical.com/about-us/company.html,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,DW-BADAS,|,Программное обеспечение для оценки костного возраста путем измерения и анализа рентгеновских снимков запястья людей в возрасте от 1 до 18 лет. ,|,NMPA 20223210295,|,КТ костей,|,ИИ,|,"Автоматическая оценка костного возраста по методу GP (Greulich-Pyle). Высокая согласованность с экспертом-рентгенологом (r > 0.99). Средняя абсолютная ошибка (MAE): 0.39 года (муж.), 0.32 года (жен.). Анализ изображений в формате DICOM. Оценка качества снимка, локализация костей запястья, определение стадии развития костей. Время анализа: несколько секунд.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Li Lei, Pan Qile, Cai Guang, Li Zhipeng. Consistency between artificial intelligence and expert Greulich-Pyle atlas method for bone age assessment[J]. Chinese Journal of Tissue Engineering Research, 2024, 28(28): 4436-4440.",|,,|,https://www.deepwise.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,Yitu-AICARE,|,Сервис для автоматической оценки костного возраста ,|,NMPA 20213210177,|,КТ костей,|,Компьютерное зрение,|,"1. Полная автоматизация процесса оценки по методу TW3 (включая RUS и C серии).
2. Клиническая интерпретируемость: результаты могут быть получены на каждом промежуточном этапе.
3. Высокая точность: средняя абсолютная ошибка (MAE) 0.47 лет для RUS и 0.50 лет для C серии, что сравнимо с опытным ортопедом.
4. Использование 20 областей интереса (ROI) руки.
5. Глобальный контекст: ViT позволяет учитывать более глобальную информацию по сравнению с CNN.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) SVTNET : Automatic bone age assessment network based on TW3 method and vision transformer / J. Wu, Q. Mi, Y. Zhang, T. Wu // Int. J. Imaging Syst. Technol. – 2024. – Vol. 34, № 2. – P. e22990.",|,,|,https://www.deepwise.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
